2.062,1.175
3.574,2.572
3.102,1.889
0.992,2.526
2.919,1.697
1.685,2.295
1.832,2.670
1.374,2.023
2.266,1.496
1.064,1.120
0.529,1.597
1.972,2.626
2.402,2.849
2.663,1.775
0.684,2.737
1.984,3.428
1.247,1.109
1.735,2.282
2.398,2.867
0.779,1.523
2.077,2.711
2.565,1.636
2.575,1.680
2.954,2.612
0.504,1.457
2.491,1.925
2.401,2.387
1.785,2.973
0.911,1.242
1.408,1.307
1.912,2.114
2.023,1.972
2.405,1.881
2.070,1.684
1.298,1.860
2.298,2.280
1.535,1.573
1.506,1.968
2.582,1.829
1.695,2.286
2.604,1.881
2.686,1.377
2.035,2.553
2.446,2.671
1.767,0.570
2.755,2.230
1.419,2.167
3.269,1.330
2.291,1.510
3.351,1.579
1.382,1.740
2.309,1.480
2.354,2.754
3.477,1.880
1.616,2.508
2.499,2.202
1.937,2.412
2.878,1.811
1.275,2.229
2.800,2.061
3.424,2.766
2.392,2.219
2.586,3.216
2.767,1.825
1.727,1.842
1.957,1.883
2.154,2.422
1.079,0.571
2.292,2.243
2.465,1.908
1.960,3.598
1.650,2.158
2.047,1.738
2.187,2.358
3.517,2.596
2.148,3.153
1.340,1.834
3.910,2.272
1.500,1.269
0.903,1.702
2.367,2.964
3.081,1.492
1.927,1.915
1.839,1.856
2.274,2.611
4.116,1.051
1.892,2.729
2.711,2.058
0.861,1.788
2.197,3.948
2.429,1.713
2.408,2.863
1.583,2.760
2.578,1.726
2.041,2.378
3.861,2.074
1.541,2.525
2.018,2.652
1.939,1.144
1.815,2.789
0.296,-0.762
0.057,-0.787
-0.088,0.137
1.014,-0.136
-0.103,1.200
0.576,-0.603
-0.441,-0.152
0.654,-0.235
0.046,0.798
0.443,1.364
1.327,-0.092
-0.311,0.547
-1.114,0.153
0.357,0.679
1.800,-0.217
0.132,-0.215
0.625,-0.792
-0.600,-0.311
0.220,1.054
0.550,0.918
-0.529,-0.589
0.351,-0.366
0.496,0.688
-0.636,0.154
-0.250,-0.056
-0.443,-0.439
1.039,-0.951
-0.199,1.331
-0.402,0.208
-1.195,0.231
0.794,0.278
-0.631,0.073
-0.049,-0.032
-0.249,-0.393
0.293,-0.831
1.103,-0.359
1.045,0.887
-0.483,0.174
-0.280,1.078
-0.792,-0.622
0.856,0.589
-0.553,-0.527
0.232,-0.336
0.871,0.276
0.265,0.014
-0.069,0.743
-0.945,-0.344
1.106,0.204
-1.312,-0.250
-0.518,-0.182
0.090,-1.406
0.108,0.410
0.518,-0.128
-0.099,-0.040
-1.903,1.439
-0.245,0.081
0.111,-0.641
-1.037,-0.523
0.136,0.258
0.040,-0.088
2.182,-0.383
0.216,-0.333
-0.882,1.592
-1.551,-0.552
-0.556,-0.121
0.318,0.495
0.504,0.482
0.678,-0.492
0.057,-0.089
0.500,-1.122
0.526,-1.337
-0.698,-0.539
-0.975,-0.677
-1.357,-0.220
-1.205,-1.301
-0.354,0.066
0.058,0.846
0.410,-1.198
-0.204,-0.493
-1.116,-0.456
-0.353,0.136
-0.348,0.357
0.098,0.456
1.366,-0.008
-0.139,0.555
-0.803,-1.577
0.956,0.122
0.757,0.835
1.437,-0.464
-0.240,-0.647
1.015,-0.016
-0.840,-0.226
0.706,0.470
-0.844,-0.701
0.461,0.381
0.337,0.922
-0.493,-0.701
0.516,-0.631
0.070,0.877
-0.790,1.272
